Gender,Marital_Status,Dependents,Education,Employment_Status,City/Town,Annual_Income,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Approval_Status
Male,Married,2,Postgraduate,Employed,Urban,100322,1,26981,99,0
Male,Single,2,Graduate,Employed,Suburban,58507,1,20000,222,1
Male,Married,1,High School,Self-Employed,Urban,94902,1,23279,37,1
Female,Single,3,High School,Self-Employed,Urban,129359,1,30122,79,1
Female,Single,3,Graduate,Unemployed,Suburban,63229,0,20000,79,1
Female,Divorced,0,Graduate,Unemployed,Urban,61497,1,7678,71,1
Male,Single,2,High School,Self-Employed,Suburban,63159,0,22012,96,0
Male,Single,2,Postgraduate,Self-Employed,Suburban,21738,0,7568,33,0
Male,Married,1,Graduate,Self-Employed,Urban,53847,1,20000,127,0
Female,Married,0,Graduate,Unemployed,Suburban,131569,0,37694,183,0
Male,Married,1,High School,Self-Employed,Suburban,99849,0,25235,186,1
Female,Single,1,High School,Employed,Suburban,127377,0,28893,29,1
Female,Married,0,Postgraduate,Employed,Urban,57909,0,20000,20,1
Male,Single,1,Graduate,Employed,Urban,104492,0,21996,118,1
Male,Divorced,1,Graduate,Employed,Urban,43122,0,7251,217,0
Male,Single,1,High School,Employed,Rural,23090,0,6014,119,0
Male,Single,2,High School,Self-Employed,Rural,68386,0,20314,134,1
Male,Married,1,Postgraduate,Employed,Rural,117393,0,34782,91,1
Female,Single,2,Graduate,Self-Employed,Urban,117536,0,28083,92,1
Female,Single,3,Graduate,Self-Employed,Urban,80983,0,22824,232,1
Female,Single,0,Postgraduate,Employed,Rural,117741,0,24403,83,1
Female,Single,3,Postgraduate,Unemployed,Rural,116335,0,33781,63,1
Male,Married,1,Graduate,Self-Employed,Urban,142208,0,36466,80,1
Female,Divorced,3,Graduate,Employed,Rural,145929,0,38215,164,1
Female,Divorced,0,High School,Employed,Urban,89172,0,20555,132,1
Male,Married,2,Graduate,Unemployed,Urban,21961,0,5844,223,0
Male,Single,2,Graduate,Self-Employed,Urban,110687,0,20490,147,1
Male,Single,1,Postgraduate,Employed,Rural,32315,0,10494,215,0
Female,Single,3,Postgraduate,Unemployed,Suburban,145167,0,34215,70,1
Female,Single,3,Graduate,Employed,Suburban,68697,0,20380,152,1
Female,Divorced,0,High School,Self-Employed,Suburban,95724,0,20963,106,1
Female,Married,1,Graduate,Self-Employed,Urban,124257,1,21922,221,1
Female,Married,1,Graduate,Employed,Suburban,92741,0,23460,204,0
Male,Single,1,High School,Employed,Suburban,118295,0,21757,36,0
Female,Single,3,Graduate,Employed,Rural,123538,0,22370,120,1
Female,Married,1,Postgraduate,Employed,Rural,55247,1,20000,221,0
Female,Married,3,Postgraduate,Employed,Suburban,86846,0,22361,202,1
Female,Single,1,Graduate,Employed,Suburban,139649,0,30549,147,1
Male,Single,1,High School,Employed,Suburban,140647,1,31421,141,0
Male,Married,2,Graduate,Employed,Urban,96878,0,22583,130,1
Female,Single,2,Graduate,Self-Employed,Urban,52263,1,12442,104,0
Female,Married,3,High School,Employed,Suburban,33995,0,12083,215,0
Female,Married,1,High School,Self-Employed,Rural,113118,1,33053,57,1
Female,Single,2,Postgraduate,Employed,Urban,51800,0,20000,234,0
Female,Single,1,Postgraduate,Self-Employed,Suburban,21687,0,8399,146,0
Female,Married,0,High School,Self-Employed,Suburban,98744,1,27695,115,1
Female,Single,2,High School,Employed,Rural,36458,0,6727,15,0
Male,Married,3,Graduate,Unemployed,Urban,29306,0,8616,117,0
Female,Single,0,High School,Employed,Urban,48611,0,13772,199,0
Male,Married,2,Postgraduate,Self-Employed,Urban,102684,0,21193,46,1
Female,Single,3,Graduate,Self-Employed,Suburban,59643,0,10496,121,1
Female,Single,3,Postgraduate,Self-Employed,Urban,94834,0,23698,206,1
Male,Single,1,High School,Employed,Urban,115910,0,24902,139,0
Male,Single,1,Graduate,Employed,Suburban,120857,0,29979,132,1
Female,Single,3,Postgraduate,Employed,Suburban,71246,0,20216,55,1
Female,Married,2,High School,Employed,Urban,60457,0,8832,18,0
Male,Married,2,Graduate,Employed,Suburban,53472,1,20000,12,1
Female,Married,2,Graduate,Employed,Urban,117949,0,27318,224,1
Female,Married,1,High School,Unemployed,Urban,108440,1,25028,188,1
Female,Married,1,Graduate,Unemployed,Suburban,48751,0,13168,117,0
Male,Single,2,Postgraduate,Self-Employed,Urban,24820,0,8182,94,0
Female,Married,1,High School,Self-Employed,Urban,108027,0,23306,100,1
Male,Married,0,Graduate,Unemployed,Urban,116116,0,30013,191,1
Male,Married,3,Graduate,Unemployed,Rural,80096,1,23145,207,1
Female,Single,1,Graduate,Employed,Rural,56978,0,22746,148,0
Male,Single,2,Graduate,Employed,Urban,143138,0,34752,231,1
Male,Single,1,High School,Self-Employed,Suburban,20558,0,5833,239,0
Male,Single,2,High School,Unemployed,Suburban,81078,0,22096,74,1
Male,Married,3,Graduate,Self-Employed,Rural,134491,0,29160,41,1
Male,Married,0,Graduate,Unemployed,Urban,30783,0,5511,58,0
Male,Married,3,Graduate,Employed,Urban,73688,0,20834,171,0
Female,Married,3,High School,Employed,Urban,68161,0,20302,30,1
Female,Divorced,1,Graduate,Employed,Urban,51674,1,20000,158,1
Female,Married,2,High School,Self-Employed,Urban,106024,0,29645,218,1
Male,Divorced,1,High School,Employed,Urban,143329,0,23089,213,1
Male,Married,0,Postgraduate,Employed,Urban,117011,0,22909,235,1
Female,Single,3,Postgraduate,Unemployed,Rural,43703,0,11918,190,0
Male,Married,3,Graduate,Self-Employed,Suburban,129056,0,22045,34,1
Male,Married,0,Graduate,Employed,Urban,53759,0,20000,31,1
Male,Married,2,High School,Employed,Suburban,71238,0,20729,153,1
Female,Divorced,2,Graduate,Unemployed,Rural,78111,0,20101,129,1
Female,Single,0,High School,Employed,Urban,96540,1,23962,63,1
Male,Single,2,Graduate,Employed,Suburban,107732,0,29758,237,1
Male,Single,3,Graduate,Employed,Suburban,62127,0,20000,193,1
Male,Divorced,3,Graduate,Employed,Urban,50758,1,20000,18,1
Female,Married,1,Graduate,Unemployed,Urban,47268,0,9247,127,0
Female,Divorced,2,High School,Self-Employed,Suburban,41334,0,9091,142,0
Male,Married,3,High School,Employed,Urban,117896,1,34758,66,1
